DST,MOPH
sulfamethoxazole-trimethoprim 80/16 mg /mL intravenous solution for injection 5 mL,"Mebeverine hydrochloride200
 mg  "
sulfamethox-trimethoprim 800-160 mg Oral Scored Tab,"Mebeverine Hydrochloride 135
  "
Sulfasalazine 500 mg Oral Tab,"Mebeverine hydrochloride
135mg
  "
Sumatriptan 100 mg Oral FC Tab,"Meclozine Hydrochloride 25
 mg
Pyridoxine hydrochloride
 50 mg  "
SUMAtriptan 5 mg spray Nasal Spray solution 0.1 ml,"MECLOZINE HYDROCHLORIDE 25mg
 + PYRIDOXINE HYDROCHLORIDE
 50mg  "
Sumatriptan 50 mg Oral FC Tab,Mecobalamin 500 µg
suxamethonium (succinylcholine) 50 mg /mL IV/IM solution for injection 2 mL,Mecobalamin 500 µg
tacrolimus 0.03 % topical ointment 30 g,Mecobalamin 500 µg
Suxamethonium 50 mg /mL intravenous solution for injection 2 mL,Mecobalamin 500 µg
tacrolimus 0.1 % topical ointment 30 g,Mecobalamin 500 µg
Tacrolimus 0.5 mg Oral Cap,Mecobalamine 500 µg
Tacrolimus 1 mg Oral Cap,"medroxyprogesterone acetate
 150 mg  "
Tacrolimus 1 mg Oral ER Cap,"medroxyprogesterone acetate
 5 mg  "
Tacrolimus 1 mg Oral Powder,Mefenamic Acid 250mg
Tacrolimus 3 mg Oral ER Cap,mefenamic acid 500 mg
Tacrolimus 5 mg Oral Cap,"Mefenamic acid powder 50mg
 / 5 ml  "
Tacrolimus 5 mg Oral ER Cap,Meloxicam 15mg
tacrolimus 5 mg/mL Inj 1 mL 5 mg /mL intravenous solution for injection 1 mL,Meloxicam 15mg
Tamoxifen 10 mg Oral Tab,Meloxicam 7.5mg
Tamoxifen 20 mg Oral Tab,Meloxicam 7.5mg
Tamsulosin 0.4 mg Oral FC Tab,MELOXICAM 15 MG
Tamsulosin 0.4 mg Oral MR Cap,Meloxicam 15 mg
teamazepam 10 mg oral Tab,Meloxicam 15mg
"teicoplanin 200 mg IM,IV powder for injection",Meloxicam 15mg/Capsule
Temozolomide 100 mg Oral Cap,MELOXICAM 7.5 MG
Temozolomide 20 mg Oral Cap,Meloxicam 7.5 mg
Temozolomide 5 mg Oral Cap,Meloxicam 7.5mg
terbinafine 1 % topical cream 15 g,Meloxicam 7.5mg
terbinafine 1 % topical spray 30 ml,Melphalan    2mg
terbinafine 250 mg Oral Tab,"Memantine hydrochloride 10mg
  "
terbutaline sulfate 0.5 mg /mL intravenous solution for injection 1 mL,"Memantine hydrochloride 10mg
  "
terbutaline sulfate 1 mg /mL subcutanious solution for injection 1 mL,"Memantine hydrochloride 20mg
  "
testosterone enanthate 250 mg /mL intramuscular solution for injection 1 mL,"Meningococcal group A, C,
 W-135 and Y-conjugate vaccineAfter
 reconstitution1 dose 0.5ml)
 contains :Neisseria meningitides
 group A Polysccharides 5
 microgram , Neisseria meningitides
 group C Polysccharides 5
 microgram , Neisseria meningitides
 group W-135 Polysccharides
 5 microgram , Neisseria meningitides
 group Y  Polysccharides 5
 microgram conjugated  to
 tetanus toxoid carrier protein
 44 micrograms  "
testosterone undecanoate 250 mg /mL intramuscular solution for injection 4 mL,"Menotrophin (human menopausal
 gonadotropin, HMG) corresponding
 to 75 IU FSH & 75 IU LH
 "
tetan-dipht-pert acel (Tdap) Adult 1 Dose 0.5 mL intramuscular suspension for injection 0.5 mL,"Menotrophin (human menopausal
 gonadotropin, HMG) highly
 purified corresponding to
 75IU FSH & 75IU LH  "
tetanus IG 250 units 250 Units /1 mL intramuscular single dose injection 1 mL,"Mepivacaine HCl Injection
  3%  "
Tetanus Toxoid (adsorbed) 1 Dose /0.5 mL intramuscular single dose injection 0.5 mL,Mequitazine 10mg
tetracaine 4 %% topical 1.5 g gel,Mequitazine 30mg/60 ml
tetracaine HCL (Compounding) 100 g Oral Powder,Mercaptopurine 50 mg
tetracaine hydrochloride 0.5 % ophthalmic minims 0.5 ml,"Meropenem trihydrate, 1 g
  "
tetracycline 250 mg Oral Tab,"Meropenem trihydrate, 500
 mg  "
tetradecyl sodium sulfate 30 mg /mL intravenous solution for injection 2 mL,"Mesalazine 1 gm / 100 ML
  "
tetradecyl sodium sulfate 30 mg /mL intravenous solution for injection 5 mL,Mesalazine 1 gm
theophylline 100 mg Oral ER Cap,Mesalazine 1 gm
thiamine (vit B1) 100 mg /mL intravenous solution for injection 1 mL,Mesalazine 1000 mg
thiamine 100 mg Oral Tab,Mesalazine 2gm
thiamine 50 mg Oral Tab,Mesalazine 400mg
thiamine HCl Vitamin B1 (Compounding) 100 g Oral Powder,Mesalazine 500 mg
thiamine hcl-riboflavin-nicotinamide-pyridoxine-dexpanthenol 5-2-20-2-3 mg /5 ml oral flavored syrup 150 ml,Mesterlone 25 MG
thiopental sodium 500 mg intravenous powder for injection,"Metformin HCl750mg Metformin
 HCl 750mg eq. to Metformin
 base 585mg "
thiosulphate sodium 10% 100 mg /mL intravenous solution for injection 10 mL,METFORMIN 1G
tibolone 2.5 mg Oral Tab,"Metformin HCl 500 mg Metformin
 390 mg eq to metformin HCl
 500 mg "
tigecycline 50 mg intravenous powder for injection,METFORMIN 500 MG
timolol 0.25 % ophthalmic solution 5 ml,"Metformin HCl850 mg Metformin
 662.9mg eq to metformin HCl
 850 mg "
timolol 0.5 % ophthalmic solution 5 ml,"Metformin HCl1000 mg Metformin
 780mg eq to metformin HCl
 1000 mg "
tinidazole 500 mg Oral Tab,METFORMIN 850 MG
tioguanine 40 mg Oral Tab,"Metformin HCl 500 mg + Glibenclamide
 2.5 mg  "
tiotropium 2.5 mcg puff inhalation solution 4 mL,"Metformin HCl 500 mg + Glibenclamide
 5 mg  "
Tizanidine 2 mg Oral Scored Tab,"Metformin HCl500mg Metformin
 HCl 500mg eq. to Metformin
 base 390mg "
Tizanidine 4 mg Oral Scored Tab,Metformin HCl 500mg
tobramycin 0.3 % ophthalmic ointment 3.5 g,Metformin HCl 500mg
tobramycin 0.3 % ophthalmic ointment 5 g,Metformin HCl 500mg
tobramycin 0.3 % ophthalmic solution 5 ml,Metformin HCl 850mg
tobramycin 60 mg / mL nebulized solution for inhalation 5 mL,"Metformin Hydrochloride 500
 mg  "
tocilizumab 20 mg /mL intravenous solution for injection 10 mL,"METFORMIN HYDROCHLORIDE 500MG
  "
tocilizumab 40 mg /mL intravenous solution for injection 20 mL,"METFORMIN HYDROCHLORIDE 850MG
  "
Tofacitinib 5 mg Oral Tab,"Metformin/Vildagliptin 50/1000
 mg  "
tolterodine 4 mg Oral ER Cap,"Metformin/Vildagliptin 50/1000
 mg  "
Topiramate 100 mg Oral Tab,"Metformin/Vildagliptin 50/850
 mg  "
Topiramate 15 mg Oral Hard cap,"Metformin/Vildagliptin 50/850
 mg  "
Topiramate 200 mg Oral FC Tab,"Methoxy Polyethylene Glycol-epoetin
 Beta  200 mcg/0.3 ml  "
Topiramate 25 mg Oral Hard cap,"Methoxy Polyethylene Glycol-epoetin
 Beta  30 mcg/0.3 ml  "
Topiramate 25 mg Oral Tab,"Methoxy Polyethylene Glycol-epoetin
 Beta  360 mcg/0.6 ml  "
Topiramate 50 mg Oral FC Tab,"Methoxy Polyethylene Glycol-epoetin
 Beta  75 mcg/0.3 ml  "
topotecan 1 mg /mL intravenous solution for injection 4 mL,"Methoxy Polyethylene Glycol-epoetin
 Beta 100 mcg/0.3 ml  "
trace elements ( Adult ) - - - intravenous solution for injection 10 mL,"Methoxy Polyethylene Glycol-epoetin
 Beta 120 mcg/0.3 ml  "
trace elements (Pediatric) - - - intravenous solution for injection 10 mL,"Methoxy Polyethylene Glycol-epoetin
 Beta 150 mcg/0.3 ml  "
traMADol 100 mg / mL oral solution 10 mL,"Methoxy Polyethylene Glycol-epoetin
 Beta 50 mcg/0.3 ml  "
tramadol HCL 50 mg / mL solution injection 2 mL,Methyl predinsolone aceponate 0.1%
tramadol hydrochloride 100 mg oral ER Tab,Methyl predinsolone aceponate 0.1%
tramadol hydrochloride 50 mg oral Cap,Methyl predinsolone aceponate 0.1%
tranexamic acid 100 mg /mL intravenous solution for injection 5 mL,METHYLDOPA  250 MG
Tranexamic acid 500 mg Oral Tab,Methyldopa 250mg
travoprost 0.004 % ophthalmic solution 2.5 ml,Methyldopa 500mg
treosulfan 1 g powder for injection/infusion (OVASTAT) 1000 mg intravenous powder for injection,Methylergometrine 0.2 mg/ml
treosulfan 250 mg Oral Cap,Methylphenidate Hyprocholoride 18mg
tretinoin 0.025 % topical cream 20 g,"Methylphenidate Hyprocholoride
 36mg  "
tretinoin 0.025 % topical cream 30 g,methylprednisolone 4 mg
tretinoin 0.05 % topical cream 30 g,"methylprednisolone acetate
 40 mg/ml  "
tretinoin 10 mg Oral Cap,"methylprednisolone acetate
 40 mg/ml  "
triamcinolone 0.1 % topical cream 15 g,"methylprednisolone sodium
 succinate 1 g  "
triamcinolone 0.1 % topical ointment 15 g,"methylprednisolone sodium
 succinate 125 mg  "
"Triamcinolone acetonide - Nystatin - Neomycin - Gramicidin 1mg/g - 100,000 U/g - 2.5mg/g - 0.25mg/g mg - g - U topical ointment 15 g","methylprednisolone sodium
 succinate 40 mg  "
triamcinolone acetonide 0.1 % oral paste 5 g,"methylprednisolone sodium
 succinate 500 mg  "
"triamcinolone acetonide 40 mg /mL IM,intra-articular suspension for Injection 1 mL",Metoclopramide HCL 10mg
triamcinolone hexacetonide 20 mg /mL intra-articular suspension for Injection 1 mL,Metoclopramide 10mg
Triamcinolone-Neomycin-Gramicidin-Nystatin - - topical cream 15 g,"Metoprolol tartrate100 mg
  "
tribenosid - lidocaine 400-40 mg-mg rectal supp,"Metoprolol tartrate50 mg
 "
trientine 250 mg Oral Cap,Metronidazole 0.5% W/V
trientine 300 mg Oral Cap,"Metronidazole 125 mg/5 ml
  "
trihexyphenidyl (benzhexol) 2 mg Oral Tab,"Metronidazole 125mgSpiramycin
 0.75MUI  "
trihexyphenidyl (benzhexol) 5 mg Oral Tab,Metronidazole 200 mg/5 ml
trimeprazine 7.5 mg /5mL Oral Solution 100 mL,Metronidazole 200mg
trimetazidine 35 mg Oral ER Tab,Metronidazole 200mg
trimethoprim 100 mg Oral Tab,Metronidazole 200mg
trimethoprim 50 mg /5 ml oral unflavored syrup 100 ml,Metronidazole 200mg/5ml
triptorelin 100 mg /mL SC/IM prefilled syringe 1 mL,METRONIDAZOLE 250 MG
triptorelin 11.25 mg intramuscular powder for injection,Metronidazole 400mg
triptorelin 22.5 mg intramuscular powder for injection,METRONIDAZOLE 500 mg
triptorelin 3.75 mg /mL SC/IM prefilled syringe 1 mL,"Metronidazole Intravenous
 Infusion BP (0.5% w/v)  "
tropicamide 0.5 % ophthalmic minims 0.5 ml,Miconazole 2%
tropicamide 1 % ophthalmic minims 0.5 ml,Miconazole  20mg/g
tropicamide 1 % ophthalmic solution 15 mL,"Miconazole  Nitrate 200mg
  "
tropicamide 1 % ophthalmic solution 5 ml,"Miconazole  Nitrate 20mg/g
  "
trypan blue 0.06 % ophthalmic solution 5 ml,"Miconazole  Nitrate 20mg/g
 (2%)  "
tuberculin PPD 2 TU /0.1 mL intradermal solution for injection 1.5 mL,"Miconazole  Nitrate 400mg
  "
tuberculin purified protein derivative 5 TU /0.1ml intradermal solution for injection 1 mL,Miconazole Nitrate 2%
urea 10 % topical cream 50 g,Miconazole Nitrate 2%
urea 20 % topical cream 50 g,"Miconazole Nitrate 200mg
 "
ursodeoxycholic acid 250 mg / 5 ml oral unflavored syrup 250 ml,"Miconazole Nitrate 400mg
 "
ursodeoxycholic acid 250 mg Oral Cap,"Miconazole Nitrate20mg/gm
 (2%)  "
ursodeoxycholic acid 250 mg Oral Tab,"Miconazole Nitrate 2% + Hydrocortisone
 1%  "
ustekinumab 5 mg /mL - solution for injection 26 mL,"MICONAZOLE NITRATE 2% + HYDROCORTISONE
 1%  "
ustekinumab 90 mg /mL Subcutaneous prefilled syringe 1 mL,"MICONAZOLE NITRATE 2% + HYDROCORTISONE
 1%  "
valaciclovir 500 mg Oral Tab,"Miconazole Nitrate 200mg
 "
valganciclovir 450 mg Oral Tab,"Miconazole Nitrate 300mg/15gm
 (2%W/W)  "
valganciclovir HCL 50 mg / ml oral powder for suspension 100 ml,"Miconazole Nitrate 800mg/40gm
 (2%W/W)  "
valproate sodium 100 mg /mL intravenous solution for injection 4 mL,"Miconazole Nitrate/400mg
 "
valproate sodium 200 mg / ml oral unflavored syrup 40 ml,MINOXDIL 5 %
valproate sodium 200 mg Oral Gastro Resist Tab,MINOXDIL 5 %
valproate sodium 500 mg Oral Gastro Resist Tab,MINOXIDIL 2%
valproate sodium 57.64 mg /ml oral flavored syrup 150 ml,Minoxidil 2%
valproate sodium PF 100 mg /mL intravenous solution for injection 5 mL,Minoxidil 2%
valsartan + hydrochlorothiazide 160-12.5 mg Oral Tab,MINOXIDIL 5%
valsartan 160 mg Oral FC Tab,Minoxidil 5%
valsartan 80 mg Oral FC Tab,Minoxidil 5%
vancomycin lypholized 500 mg intravenous powder for injection,Mirtazapine 30
varicella virus vac 1 Dose 0.5 mL subcutaneous single dose injection 0.5 mL,Mirtazapine 30
vaseline 50 % topical cream 50 g,"Mivacurium chloride 2mg/ml
  "
"vasopressin 20 unit /ml IM,SC latex free solution for injection 1 mL","Mivacurium chloride 2mg/ml
  "
vecuronium bromide 1 mg /mL intravenous solution for injection 10 mL,"Mometasone Furoate Micronized
 1mg  "
vedolizumab 300 mg intravenous preservative free powderfor injection,"Mometasone Furoate Micronized
 1mg  "
venlafaxine 37.5 mg Oral Tab,"Mometasone Furoate Micronized
 1mg/g  "
venlafaxine 75 mg Oral ER Cap,"Mometasone furoate 0.1% w/w
  "
venlafaxine ER-24 hr 37.5 mg Oral ER Cap,"MOMETASONE FUROATE 0.1% W/W
  "
venom antiserum (snake) - - - intravenous injection 10 mL,"MOMETASONE FUROATE 0.1% W/W
  "
verapamil 2.5 mg /mL intravenous solution for injection 2 mL,"Mometasone Furoate 200mcg
  "
verapamil 40 mg Oral Tab,"Mometasone Furoate 200mcg
  "
vigabatrin 50 mg Oral FC Tab,"Mometasone Furoate 400mcg
  "
vinBLAStine 1 mg /mL intravenous solution for injection 10 mL,"Mometasone Furoate 400mcg
  "
vincristine sulphate 1 mg / mL Intravenous injection 1 mL,"Mometasone furoate monohydrate
 0.5mg/g  "
vindesine sulfate 5 mg - Intravenous Injection - -,Moxifloxacin 400 MG
vinorelbine ditartrate 10 mg /mL intravenous solution for injection 5 mL,Moxifloxacin 400 MG
vinorelbine tartrate 10 mg /mL intravenous preservative free Inj 1 mL,Moxifloxacin 400 MG /250 ML
vitamin A (retinol) 50000 IU Oral Cap,Moxifloxacin hydrochloride 0.5%
vitamin B & C-complex (B1/B2/B6/B12/C/Folic Acid) - - Oral Tab,moxonidine 0.2mg
"vitamin B complex (B1,2,6,12) - - Oral Tab",moxonidine 0.2mg
"Vitamin B1, B6, B12 injection - - - intramuscular solution for injection 3 mL",moxonidine 0.4mg
"vitamin B12 (hydroxocobalamin acetate) 1 mg /mL IM,IV solution for injection 1 mL",moxonidine 0.4mg
vitamin E 100 IU Oral Cap,"Vitamin C  1000mg
Calcium 250mg (as 625mg Calcium Carbonate)
Vitamin D 300 IU
Vitamin B6 15mg"
voriconazole 200 mg intravenous powder for injection,"each 100 ml contain vit A
 13.2 mg ,Vit D3 0.05 mg ,Thiamine
 HCL 20 mg ,Riboflavin sod
 phosphate 20 mg ,pyridoxine
 HCL 10 mg ,Ascorbic acid
 1000 mg , alfa tocopheryle
 acetate 20 mg ,Nicotinamide
 100 mg ,Dexapanthenol 40
 mg.  "
voriconazole 200 mg Oral Tab,"Vit A 800 mcg,Vit B1 1.4 mg,vit
 B2 1.6 mg ,vit B6 2 mg,B12
 1mcg,folic acid 200 mcg,Niacine
 18 mg ,pantothenic acid 6
 mg,vit c 60 mg,vit D 5 mcg
 ,vit E 10 mg,Iron 14 mg,Zinc
 15 mg ,cupper 0.9 mg,Iodine
 150 mcg,manganese 1.8 mg,chromium
 25 mcg , selenium 40 mcg
  "
warfarin 1 mg Oral Tab,"Vit A,Vit B1 ,vit B2 ,vit
 B6,B12 ,vit C,vit D,Vit K,Vit
 E ,folic acid ,Niacine  ,pantothenic
 acid  ,Iron ,Zinc  ,cupper
 ,Iodine ,manganese,magenisum
  , selenium   "
warfarin 2 mg Oral Tab,Mupirocin 2g/100g
warfarin 3 mg Oral Tab,Mupirocin calcium 2g/100g w/w
warfarin 5 mg Oral Tab,Mupirocin calcium 2g/100g
water for Injection (sterile) intravenous fluid 100 mL,Mycophenolate mofetil 250mg
water for Injection (sterile) intravenous fluid 1000 mL,Mycophenolate mofetil 500mg
water for irrigation (sterile) intravenous fluid 1000 mL,"Mycophenolic acid 180 mg
 "
Water for Irrigation with transfer spike intravenous fluid 500 mL,"Mycophenolic acid 360 mg
 "
xylometazoline 0.05 % drop Nasal Drop solution 10 ml,"Vitamin D (as D3 150 IU) 3.8mcg
 + Calcium 300mg + Magnesium
 150mg + Zinc 6mg  "
xylometazoline 0.1 % drop Nasal Drop solution 10 ml,"Calcium Stearate 400mg + Magnesium
 150mg + Zinc 5mg + Vitamin
 D 2.5mcg   "
yellow fever vaccine (live) heat stable 1 Dose 0.5 mL IM/SC powder for injection 0.5 mL,Naftifine 1%
zidovudine 10 mg /ml oral unflavored syrup 240 ml,"Nandrolone Decanoate  50mg/ml
  "
zidovudine 10 mg /mL oral solution (flavored) 240 mL,naproxen 250 mg
zidovudine 100 mg Oral Cap,naproxen 500 mg
zinc chloride 1 mg /mL intravenous solution for injection 10 mL,"Naproxen Sodium  500mg/Tablet
  "
zinc oxide 13 % topical cream 113 g,"Naproxen Sodium 250mg/Tablet
  "
zinc oxide 15 % topical ointment 25 g,Naproxen sodium 275mg
zinc oxide 40 % topical paste 113 g,Naproxen sodium 550mg
zinc sulphate 200 mg Oral Tab,Natalizumab 300 mg
ziprasidone 40 mg Oral Cap,Nateglinide 120 mg
ziprasidone 60 mg Oral Cap,Nateglinide 60 mg
zoledronic acid 0.8 mg /mL intravenous solution for injection 5 mL,"Neisseria Meningitis Vaccine
 Serogroups A, C W-135 and
 Y (50mcg/0.5ml) each  "
zolmitriptan 2.5 mg Oral Tab,Neomycin Sulphate + DEXAMETHASONE SODIUM PHOSPHATE (0.5 % + 0.1%)
zolpidem 10 mg oral Tab,"Neomycin 5mg/g
Bacitracin
 250 IU/g  "
zonisamide 100 mg Oral Cap,Nepafenac 0.1%
zonisamide 25 mg Oral Cap,Nevirapine 200mg
Zonisamide 50 mg Oral Cap,Nicotine 17.5 mg /patch
Inactivated Influenza Vaccine Quadrivalent (3 years and below) 1 dose 0.5 mL single dose injection 0.5 mL,Nicotine 52.5 mg /patch
Emicizumab 30 mg /mL Subcutaneous solution for injection 1 mL,Nicotine35 mg /patch
Emicizumab 60 mg /0.4mL Subcutaneous solution for injection 0.4 mL,Nifedipine 10mg
Iron Pyrophosphate 35 mg /5mL Oral Syrup 200 mL,Nifedipine 30 MG
Beclomethasone 5 mg Oral SR Tab,"Nilotinib hydrochloride monohydrate
 150 mg  "
Pazopanib 400 mg oral FC tab,"Nilotinib hydrochloride monohydrate
 200 mg  "
Zuclopenthixol 200 mg /ml Intramuscluar solution for injection 1 ml,"Nilotinib hydrochloride monohydrate
 200 mg  "
simvastatin 10 mg Oral tab,Nitrofurantoin 100 mg
hepatitis A vaccine inactivated for adult 1 dose 1 ml intramuscular single dose injection 1 ml,Nitroglycerin 25mg
oxaliplatin 5 mg /mL intravenous solution for injection 10 mL,Nitroglycerin 25mg
Oxaliplatin 5 mg /mL intravenous solution for injection 20 mL,Nitroglycerin 50mg
docetaxel 20 mg /mL intravenous solution for injection 4 mL,Nitroglycerin 75mg
mineral oil 42.5% - white petrolatum 57.3% PF - - ophthalmic ointment 3.5 g,Nonacog alfa (recombinant coagulation factor IX) IU / VIAL
Tiopronin 100 mg Oral Tab,Nonacog alfa (recombinant coagulation factor IX) 2000 IU / VIAL
desmopressin acetate 0.1 mg Oral Tab,Nonacog alfa (recombinant coagulation factor IX) IU / VIAL
Calcitonin 100 IU /mL IM/SC solution for injection 1 mL,Nonacog alfa (recombinant coagulation factor IX) 500 IU / VIAL
regorafenib 40 mg Oral FC Tabs,"Norelgestromin + Ethinylestradiol

Each 20 cm2 transdermal patch
 contains 6 mg norelgestromin
 (NGMN) and 600 micrograms
 ethinyl estradiol (EE).
 "
daunorubicin liposomal 2 mg / mL intravenous soln for infusion 25 mL,Norethisterone 5MG
fenfluramine 2.2 mg /mL Oral solution 360 mL,Norfloxacin 400 mg
cannabadiol 100 mg /mL Oral solution 100 mL,Norfloxacin 400mg
brivaracetam 100 mg Oral Tab,Norfloxacin400 mg
thalidomide 50 mg Oral Cap,"O-(Beta-hydroxyethyl) rutoside
 2%  "
progesterone micronised 100 mg Oral Cap,"O-(Beta-hydroxyethyl) rutoside
 500 mg  "
Methyl phenidat HCL 5 mg Oral Tab,Octreotide 0.1mg/1ml
"Gentamicin (Sulphate) 40 mg /mL IM, IV solution for injection (with preservative) 2 mL",Octreotide 20mg
Bendamustine 100 mg intravenous powder for solution for Injection,Octreotide 30mg
"lithium carbonate 400 mg Oral CR, FC Tab",Ofloxacin 200mg
alfacalcidol 2 mcg /mL Intravenous solution for injection 0.5 mL,Ofloxacin 200mg
levocarnitine 200 mg /mL IM/IV solution for injection 5 mL,Ofloxacin 400mg
meropenem 1000 mg intravenous powder for solution for Injection,Olanzapine 10mg
baclofen 2 mg / mL intrathecal infusion solution for injection 20 mL,olanzapine 10mg
Gentamicin (Sulphate) 10 mg /mL IM/IV preservative free solution for injection 2 mL,Olanzapine 5mg
sodium acetate 2 mEq /mL Intravenous solution for injection 100 mL,olanzapine 5mg
sevelamer CARBONATE  0.8 gm oral powder,"Olive oil (refined) 80% +
 soya- bean oil (refined)
 20%  "
sodium chloride 0.9% Viaflex intravenous fluid 250 mL,"Olopatadine (as hydrochloride)
 1 mg  "
,Omalizumab150mg
,"Omega-3-acid ethyl esters
 90, (1000mg)
comprising of;
Eicosapent (EPA) 46% and
 Doconexent (DHA) ethyl esters
 38% = 840mg  "
,Omeprazol 20 mg
,Omeprazole 20 Mg
,Omeprazole 20 Mg
,Omeprazole 20 Mg
,Omeprazole 20 mg
,Omeprazole 20mg
,Omeprazole 20mg
,Omeprazole 20mg
,Omeprazole 20mg
,OMEPRAZOLE 20MG
,Omeprazole 20mg
,"Omeprazole magnesium, 10 mg
  "
,"Omeprazole magnesium, 20 mg
  "
,"Omeprazole, 20 mg  "
,"Omprazole Capsules 20 mg
 "
,Ondansetron4mg
,Ondansetron 8mg
,"Ondansetron (as HCl Dihydrate)
 2mg/ml  "
,"Ondansetron (as HCl Dihydrate)
 2mg/ml  "
,"Ondansetron (as HCl Dihydrate)
 4mg  "
,"Oral Rehydration Salts Mixture

(Sodium Chloride 3.5g + Potassium
 Chloride 1.5g + Sodium Citrate
 2.9g  + Dextrose ""Anhydrous""
 20g + Orange Flavour Ultraseal
 0.07g + Sodium Saccharin
 0.025g + Anhydrous Citric
 acid 0.15g)  "
,"Ondansetron (as HCl Dihydrate)
  4mg/5ml  "
,"Ondansetron (as HCl Dihydrate)
 8mg  "
,"ORGANO  HEPARINOID 0,3 % (w/w)
  "
,"ORGANO  HEPARINOID 0,3 % (w/w)
  "
,Orlistat 120mg
,Orlistat 120mg
,"Orlistat, milled 60mg  "
,"Orlistat, milled 60mg  "
,"Oseltamivir  45 mg  caps.
  "
,"Oseltamivir  75mg  caps.
 "
,"Oseltamivir 30 mg  caps.
 "
,"OLOPATADINE hydrochloride
  0.2%  "
,OXALIPLATIN 100mg/20ml
,OXALIPLATIN 200mg/40ml
,OXALIPLATIN 50mg/10ml
,Oxcarbazepine 300 mg
,Oxcarbazepine 60 mg/ml
,Oxcarbazepine 600 mg
,Oxomemazine 0.33 mg/ml
,"oxomemazine 1.65 mg + Guaifenesen
 33.3 mg+Paracetamol 33.3
 mg + Sodium Benzoate 33.3
 mg / 5 ml  "
,Oxytocin 5 IU/ml
,Paclitaxel 30 mg / 5 ml
,Paliperidone 3mg
,Paliperidone 6mg
,Paliperidone 9mg
,"Pancuronium Bromide 4 mg/2ml
  "
,"panitumumab 100 mg/ 5 ml
 (20mg/ml)  "
,"panitumumab 400 mg /20 ml
  (20 mg/ml)  "
,PANTOPRAZOLE 40 MG
,PANTOPRAZOLE 40 MG
,PANTOPRAZOLE 40 MG
,PANTOPRAZOLE  40MG
,"PANTOPRAZOLE SODIUM 20 mg
  "
,"PANTOPRAZOLE SODIUM 40 mg
  "
,"Pantoprazole 40 mg (as sodium)
  "
,"Pantoprazole Sodium 40 mg
 "
,"Pantoprazole Sodium 40mg
 "
,Paracetamol 10 mg/ml
,"Paracetamol   250mg
Propyphenazone
   150mg
Caffeine   50mg
 "
,Paracetamol 120mg
,Paracetamol  100mg/ml
,Paracetamol  500mg
,Paracetamol 250mg
,Paracetamol 1% W/V
,Paracetamol 1% W/V
,Paracetamol 100 mg
,"Paracetamol 1000 mg - Pseudoephedrine
 hydrochloride BP 60 mg  "
,PARACETAMOL 100MG/ML
,"Paracetamol 120 mg/ 5 ml
 "
,"Paracetamol 120 mg/ 5 ml unit
 dose  "
,"paracetamol 120mg, Pseudoephedrine
 HCl 15mg,Chlorpheniramine
 Maleate 0.75mg / 5ml  "
,"paracetamol 120mg, Pseudoephedrine
 HCl 15mg,Chlorpheniramine
 Maleate 0.75mg / 5ml  "
,Paracetamol 120MG/5ML
,PARACETAMOL 120MG/5ML
,"Paracetamol 120mg/5ml syrup
  "
,Paracetamol 200 mg
,"Paracetamol 250mg
           Guaifenesin 100mg

  Phenylephrine hydrochloride
 5mg  "
,Paracetamol 250mg/5ml
,Paracetamol 350 mg
,"Paracetamol 450mg + Orphenadrine
 Citrate 35mg + Caffeine 15mg
  "
,"Paracetamol 450mg + Orphenadrine
 Citrate
35mg  "
,"Paracetamol 450mg
Orphenadrine
 Citrate 35mg  "
,"Paracetamol 450mg
Orphenadrine
 Citrate 35mg   "
,Paracetamol 48mg/1ml
,Paracetamol 500 mg
,"Paracetamol 500 mg & Caffeine
 60 mg  "
,Paracetamol 500mg
,PARACETAMOL 500MG
,Paracetamol 500mg
,Paracetamol 500mg
,Paracetamol 500mg
,"Paracetamol 500mg
                     Pseudoephidrine
 hudrochloride 30mg  "
,"Paracetamol 500mg
                 Diphenhydramine
 hydrochloride 25mg  "
,"PARACETAMOL 500MG + CAFFEINE
 65mg MG  "
,"PARACETAMOL 500MG + CAFFEINE
 65mg MG  "
,"PARACETAMOL 500MG + CAFFEINE
 65mg MG  "
,"Paracetamol 500mg + Caffiene
 65mg  "
,"Paracetamol 500mg
Metoclopramide
 HCl 5mg  "
,"Paracetamol 650 mg - Phenylephrine
 HCl 10 mg  "
,Paracetamol 665mg
,"Paracetamol Ph. Eur. 500m/
 Caffeine Ph. Eur. 25mg/ Phenylephrine
 Hyrdrochloride Ph. Eur. 5mg
  "
,"Paracetamol Ph. Eur. 500mg
               "" with optizorb
 formulation""  "
,"Paracetamol Ph. Eur. 500mg
               "" with optizorb
 formulation""  "
,"Paracetamol Ph. Eur. 500mg/tablet
  "
,"Parcetamol 400mg, Pseudoephedrine
 HCl 30mg, Caffeine 32mg,
 Chlorpheniramine maleate
 3mg  "
,"Parcetamol 416.6mg, phenylepherine
 HCl 5mg,  Night:Chlorpheniramine
 maleate 3mg  "
,"Parcetamol 500 mg / Caffaeine
 65 mg   "
,Parecoxib 40mg
,Parecoxib 40mg
,Paricalcitol 5mcg/ml
,Paroxetine HCl 12.5mg
,Paroxetine HCl 25mg
,"Paroxetine HCl hemihydrate
 20mg  "
,"PAROXETINE HYDROCHLORIDE 20mg
  "
,PAROXETINE HYDROCHLORIDE 40mg
,Pazopanib 200mg
